,Count,Lifespan,Nutrition,Reproduction
0,132,1.0,660.0,0.0
1,106,1.9528301886792452,1076.0,6.0
2,76,2.9342105263157894,1202.0,6.0
3,61,3.9344262295081966,1319.0,6.0
4,52,4.769230769230769,1366.0,7.0
5,47,5.638297872340425,1473.0,7.0
6,47,6.638297872340425,1755.0,7.0
7,45,7.733333333333333,1983.0,6.0
8,43,8.837209302325581,2187.0,5.0
9,43,9.837209302325581,2445.0,5.0
10,42,10.833333333333334,2638.0,5.0
11,41,11.829268292682928,2819.0,5.0
12,42,12.547619047619047,3060.0,6.0
13,44,12.977272727272727,3302.0,8.0
14,44,13.659090909090908,3472.0,9.0
15,47,13.787234042553191,3721.0,12.0
16,50,13.64,3882.0,16.0
17,53,13.547169811320755,4055.0,20.0
18,59,13.169491525423728,4343.0,26.0
19,63,13.333333333333334,4677.0,30.0
20,68,13.352941176470589,5030.0,35.0
21,71,13.788732394366198,5423.0,38.0
22,76,13.881578947368421,5824.0,43.0
23,81,14.024691358024691,6255.0,48.0
24,86,14.209302325581396,6716.0,53.0
25,91,14.428571428571429,7209.0,58.0
26,103,13.74757281553398,7695.0,70.0
27,111,13.756756756756756,8273.0,78.0
28,127,13.023622047244094,8859.0,94.0
29,147,12.251700680272108,9523.0,114.0
30,159,12.327044025157234,10359.0,126.0
